 id    | path_to_file |
 3     | Var_3        |
 4     | Var_4        |
 5     | Var_5        |
 6     | Var_6        |
 7     | Var_7        |
 8     | Var_8        |
 9     | Var_9        |
 10    | Var_10       |
 11    | Var_11       |
 12    | Var_12       |
 13    | Var_13       |
 14    | Var_14       |
 15    | Var_15       |
 16    | Var_16       |
 17    | Var_17       |
 18    | Var_18       |
 19    | Var_19       |
 20    | Var_20       |
 21    | Var_21       |
 22    | Var_22       |
 23    | Var_23       |
 24    | Var_24       |
 25    | Var_25       |
 26    | Var_26       |
 27    | Var_27       |
 28    | Var_28       |
 29    | Var_29       |
 30    | Var_30       |
 31    | Var_31       |
 32    | Var_32       |
 33    | Var_33       |
 34    | Var_34       |
 35    | Var_35       |
 36    | Var_36       |
 37    | Var_37       |
 38    | Var_38       |
 39    | Var_39       |
 40    | Var_40       |
 41    | Var_41       |
 42    | Var_42       |
 43    | Var_43       |
 44    | Var_44       |
 45    | Var_45       |
 46    | Var_46       |
 47    | Var_47       |
 48    | Var_48       |
 49    | Var_49       |
 50    | Bebra        |
 51    | Bebra1       |
 51    | Bebra1       |
 51    | Bebra1       |
